ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_NM,YEAR,MONTH,DEPARTURES_PERFORMED
AK,Alaska,AK,Alaska,2024,12,26785.0
AK,Alaska,AL,Alabama,2024,12,4.0
AK,Alaska,AZ,Arizona,2024,12,31.0
AK,Alaska,CA,California,2024,12,191.0
AK,Alaska,CO,Colorado,2024,12,31.0
AK,Alaska,FL,Florida,2024,12,198.0
AK,Alaska,GA,Georgia,2024,12,54.0
AK,Alaska,HI,Hawaii,2024,12,49.0
AK,Alaska,ID,Idaho,2024,12,1.0
AK,Alaska,IL,Illinois,2024,12,685.0
AK,Alaska,IN,Indiana,2024,12,37.0
AK,Alaska,KY,Kentucky,2024,12,323.0
AK,Alaska,MD,Maryland,2024,12,1.0
AK,Alaska,MN,Minnesota,2024,12,28.0
AK,Alaska,NJ,New Jersey,2024,12,21.0
AK,Alaska,NV,Nevada,2024,12,9.0
AK,Alaska,NY,New York,2024,12,281.0
AK,Alaska,OR,Oregon,2024,12,90.0
AK,Alaska,SC,South Carolina,2024,12,4.0
AK,Alaska,TN,Tennessee,2024,12,183.0
AK,Alaska,TT,U.S. Pacific Trust Territories and Possessions,2024,12,4.0
AK,Alaska,TX,Texas,2024,12,151.0
AK,Alaska,WA,Washington,2024,12,1013.0
AL,Alabama,AL,Alabama,2024,12,7.0
AL,Alabama,AR,Arkansas,2024,12,1.0
AL,Alabama,AZ,Arizona,2024,12,15.0
AL,Alabama,CO,Colorado,2024,12,155.0
AL,Alabama,FL,Florida,2024,12,241.0
AL,Alabama,GA,Georgia,2024,12,846.0
AL,Alabama,ID,Idaho,2024,12,1.0
AL,Alabama,IL,Illinois,2024,12,233.0
AL,Alabama,IN,Indiana,2024,12,1.0
AL,Alabama,KY,Kentucky,2024,12,42.0
AL,Alabama,LA,Louisiana,2024,12,25.0
AL,Alabama,MD,Maryland,2024,12,30.0
AL,Alabama,MI,Michigan,2024,12,66.0
AL,Alabama,MN,Minnesota,2024,12,1.0
AL,Alabama,MS,Mississippi,2024,12,1.0
AL,Alabama,NC,North Carolina,2024,12,570.0
AL,Alabama,ND,North Dakota,2024,12,1.0
AL,Alabama,NV,Nevada,2024,12,39.0
AL,Alabama,NY,New York,2024,12,75.0
AL,Alabama,OH,Ohio,2024,12,2.0
AL,Alabama,OK,Oklahoma,2024,12,2.0
AL,Alabama,PA,Pennsylvania,2024,12,37.0
AL,Alabama,SD,South Dakota,2024,12,1.0
AL,Alabama,TN,Tennessee,2024,12,115.0
AL,Alabama,TX,Texas,2024,12,1007.0
AL,Alabama,VA,Virginia,2024,12,349.0
AR,Arkansas,AR,Arkansas,2024,12,4.0
AR,Arkansas,AZ,Arizona,2024,12,77.0
AR,Arkansas,CA,California,2024,12,45.0
AR,Arkansas,CO,Colorado,2024,12,221.0
AR,Arkansas,FL,Florida,2024,12,78.0
AR,Arkansas,GA,Georgia,2024,12,369.0
AR,Arkansas,ID,Idaho,2024,12,4.0
AR,Arkansas,IL,Illinois,2024,12,313.0
AR,Arkansas,IN,Indiana,2024,12,1.0
AR,Arkansas,KY,Kentucky,2024,12,22.0
AR,Arkansas,LA,Louisiana,2024,12,11.0
AR,Arkansas,MI,Michigan,2024,12,27.0
AR,Arkansas,MN,Minnesota,2024,12,44.0
AR,Arkansas,MO,Missouri,2024,12,109.0
AR,Arkansas,NC,North Carolina,2024,12,268.0
AR,Arkansas,NE,Nebraska,2024,12,1.0
AR,Arkansas,NJ,New Jersey,2024,12,1.0
AR,Arkansas,NV,Nevada,2024,12,40.0
AR,Arkansas,NY,New York,2024,12,143.0
AR,Arkansas,OH,Ohio,2024,12,1.0
AR,Arkansas,OK,Oklahoma,2024,12,1.0
AR,Arkansas,PA,Pennsylvania,2024,12,11.0
AR,Arkansas,TN,Tennessee,2024,12,76.0
AR,Arkansas,TX,Texas,2024,12,1196.0
AR,Arkansas,VA,Virginia,2024,12,62.0
AR,Arkansas,WI,Wisconsin,2024,12,1.0
AZ,Arizona,AK,Alaska,2024,12,31.0
AZ,Arizona,AL,Alabama,2024,12,16.0
AZ,Arizona,AR,Arkansas,2024,12,74.0
AZ,Arizona,AZ,Arizona,2024,12,1849.0
AZ,Arizona,CA,California,2024,12,5073.0
AZ,Arizona,CO,Colorado,2024,12,1491.0
AZ,Arizona,CT,Connecticut,2024,12,14.0
AZ,Arizona,FL,Florida,2024,12,516.0
AZ,Arizona,GA,Georgia,2024,12,384.0
AZ,Arizona,HI,Hawaii,2024,12,254.0
AZ,Arizona,IA,Iowa,2024,12,203.0
AZ,Arizona,ID,Idaho,2024,12,256.0
AZ,Arizona,IL,Illinois,2024,12,994.0
AZ,Arizona,IN,Indiana,2024,12,178.0
AZ,Arizona,KS,Kansas,2024,12,73.0
AZ,Arizona,KY,Kentucky,2024,12,254.0
AZ,Arizona,LA,Louisiana,2024,12,85.0
AZ,Arizona,MA,Massachusetts,2024,12,207.0
AZ,Arizona,MD,Maryland,2024,12,105.0
AZ,Arizona,MI,Michigan,2024,12,269.0
AZ,Arizona,MN,Minnesota,2024,12,501.0
AZ,Arizona,MO,Missouri,2024,12,476.0
AZ,Arizona,MT,Montana,2024,12,97.0
AZ,Arizona,NC,North Carolina,2024,12,324.0
AZ,Arizona,ND,North Dakota,2024,12,105.0
AZ,Arizona,NE,Nebraska,2024,12,202.0
AZ,Arizona,NJ,New Jersey,2024,12,234.0
AZ,Arizona,NM,New Mexico,2024,12,456.0
AZ,Arizona,NV,Nevada,2024,12,1071.0
AZ,Arizona,NY,New York,2024,12,278.0
AZ,Arizona,OH,Ohio,2024,12,200.0
AZ,Arizona,OK,Oklahoma,2024,12,281.0
AZ,Arizona,OR,Oregon,2024,12,615.0
AZ,Arizona,PA,Pennsylvania,2024,12,273.0
AZ,Arizona,RI,Rhode Island,2024,12,1.0
AZ,Arizona,SD,South Dakota,2024,12,88.0
AZ,Arizona,TN,Tennessee,2024,12,341.0
AZ,Arizona,TX,Texas,2024,12,2496.0
AZ,Arizona,UT,Utah,2024,12,921.0
AZ,Arizona,VA,Virginia,2024,12,231.0
AZ,Arizona,WA,Washington,2024,12,984.0
AZ,Arizona,WI,Wisconsin,2024,12,236.0
CA,California,AK,Alaska,2024,12,124.0
CA,California,AR,Arkansas,2024,12,42.0
CA,California,AZ,Arizona,2024,12,5010.0
CA,California,CA,California,2024,12,20752.0
CA,California,CO,Colorado,2024,12,4170.0
CA,California,CT,Connecticut,2024,12,26.0
CA,California,FL,Florida,2024,12,1722.0
CA,California,GA,Georgia,2024,12,1402.0
CA,California,HI,Hawaii,2024,12,2710.0
CA,California,IA,Iowa,2024,12,12.0
CA,California,ID,Idaho,2024,12,815.0
CA,California,IL,Illinois,2024,12,2219.0
CA,California,IN,Indiana,2024,12,265.0
CA,California,KY,Kentucky,2024,12,924.0
CA,California,LA,Louisiana,2024,12,263.0
CA,California,MA,Massachusetts,2024,12,878.0
CA,California,MD,Maryland,2024,12,261.0
CA,California,ME,Maine,2024,12,1.0
CA,California,MI,Michigan,2024,12,537.0
CA,California,MN,Minnesota,2024,12,866.0
CA,California,MO,Missouri,2024,12,608.0
CA,California,MT,Montana,2024,12,147.0
CA,California,NC,North Carolina,2024,12,853.0
CA,California,NE,Nebraska,2024,12,71.0
CA,California,NH,New Hampshire,2024,12,16.0
CA,California,NJ,New Jersey,2024,12,1110.0
CA,California,NM,New Mexico,2024,12,391.0
CA,California,NV,Nevada,2024,12,6171.0
CA,California,NY,New York,2024,12,1751.0
CA,California,OH,Ohio,2024,12,162.0
CA,California,OK,Oklahoma,2024,12,109.0
CA,California,OR,Oregon,2024,12,2987.0
CA,California,PA,Pennsylvania,2024,12,598.0
CA,California,RI,Rhode Island,2024,12,4.0
CA,California,SC,South Carolina,2024,12,9.0
CA,California,SD,South Dakota,2024,12,12.0
CA,California,TN,Tennessee,2024,12,900.0
CA,California,TX,Texas,2024,12,6153.0
CA,California,UT,Utah,2024,12,2292.0
CA,California,VA,Virginia,2024,12,890.0
CA,California,WA,Washington,2024,12,4292.0
CA,California,WY,Wyoming,2024,12,60.0
CO,Colorado,AK,Alaska,2024,12,31.0
CO,Colorado,AL,Alabama,2024,12,155.0
CO,Colorado,AR,Arkansas,2024,12,220.0
CO,Colorado,AZ,Arizona,2024,12,1504.0
CO,Colorado,CA,California,2024,12,4160.0
CO,Colorado,CO,Colorado,2024,12,3545.0
CO,Colorado,CT,Connecticut,2024,12,80.0
